id,spell,pos,meaning
1,follow,動詞,"～に続く
＜指示・方針など＞に従う"
2,consider,動詞,～を考慮する
3,increase,動詞,増える、～を増やす
4,expect,動詞,～を予期する
5,decide,動詞,～することを決意する
6,develop,動詞,"発達する
～を発達させる"
7,provide,動詞,"～を供給する
与える"
8,continue,動詞,続く、（～を）続ける
9,include,動詞,～を含む、含める
10,remain,動詞,（ある状態の）ままでいる
11,reach,動詞,～に着く、～に達する
12,allow,動詞,～を許可する
13,force,動詞,～を強制する
14,offer,動詞,～を申し出る
15,realize,動詞,～を悟る
16,suggest,動詞,"～と提案する
～をほのめかす"
17,require,動詞,～を必要とする
18,worry,動詞,心配する
19,wonder,動詞,～かと疑問に思う
20,cost,動詞,＜費用＞を要する
21,tend,動詞,"Vする傾向がある
Vしがちである"
22,depend,動詞,"Aに依存する
A次第で決まる"
23,share,動詞,～を分け合う、共有する
24,demand,動詞,～を要求する
25,support,動詞,"～を支持する
＜家族など＞を養う
～を立証する"
26,hire,動詞,～を雇う
27,regard,動詞,AをBだと思う、みなす
28,base,動詞,AがBに基づいている
29,improve,動詞,～を向上させる
30,recognize,動詞,～を認める
31,notice,動詞,～に気づく
32,suppose,動詞,～だと思う
33,raise,動詞,"～を上げる、～を育てる
＜問題など＞を提起する"
34,prefer,動詞,～をより好む
35,cheer,動詞,～を励ます
36,suffer,動詞,"＜苦痛、損害など＞を経験する
受ける＜病気など＞で苦しむ"
37,describe,動詞,"～を描写する
～の特徴を説明する"
38,prevent,動詞,～を妨げる
39,reduce,動詞,～を減らす、AをBにする
40,mistake,動詞,～を誤解する、間違える
41,prepare,動詞,～を準備する
42,encourage,動詞,＜人を＞励ます
43,prove,動詞,"～だとわかる
～を証明する"
44,treat,動詞,～を扱う
45,establish,動詞,～を設立する、創設する
46,relate,動詞,関係がある
47,compare,動詞,"～を比較する
～をたとえる"
48,spread,動詞,～を広げる；広がる
49,refer,動詞,Aを指示する
50,supply,動詞,～を供給する
51,gain,動詞,～を得る
52,destroy,動詞,～を破壊する
53,apply,動詞,当てはまる、申し込む
54,seek,動詞,～を求める
55,search,動詞,Aを探す
56,claim,動詞,～と主張する
57,draw,動詞,～を引っ張る
58,refuse,動詞,＜申し出など＞を断る
59,respond,動詞,Aに返答する
60,mention,動詞,～について述べる
61,judge,動詞,～を判断する
62,approach,動詞,"（～に）接近する
（問題など）に取り組む"
63,admit,動詞,"＜自分に不利・不快なこと＞を認める
＜人＞の入場を許可する"
64,reflect,動詞,"～を反映する、反射する
Aについてよく考える"
65,perform,動詞,～を行う、～を遂行する
66,bore,動詞,＜人＞をうんざりさせる
67,survive,動詞,生き残る
68,represent,動詞,～をあらわす
69,argue,動詞,～と主張する
70,grant,動詞,～を認める、～を与える
71,indicate,動詞,～を指し示す
72,belong,動詞,所属している
73,acquire,動詞,＜言語、技術など＞を習得する
74,reply,動詞,返事する
75,feed,動詞,～に餌をやる
76,escape,動詞,逃げる
77,replace,動詞,"～にとって代わる
～を取り替える"
78,reveal,動詞,～を明らかにする
79,surround,動詞,～を取り囲む
80,suit,動詞,～に合う
81,estimate,動詞,＜数量＞を推定する
82,aim,動詞,Aをねらう
